"";"survived";"name";"sex";"age";"class";"joined";"ticket";"price";"sibsp";"parch";"boat..body.";"job";"url";"dob";"date_death";"ticketFreq";"pricepp";"fsize";"title"
"1";1;"ALLEN, Miss Elisabeth Walton ";"female";29;1;"Southampton";"24160";214.0375;0;0;"2";NA;"/titanic-survivor/elisabeth-walton-allen.html";1882-10-01;1967-12-15;4;53.509375;1;"Miss"
"2";1;"ALLISON, Master Hudson Trevor ";"male";0.92;1;"Southampton";"113781";151.8;1;2;"11";NA;"/titanic-survivor/trevor-allison.html";1911-05-07;1929-08-07;6;25.3;4;"Master"
"3";0;"ALLISON, Miss Helen Loraine ";"female";2;1;"Southampton";"113781";151.8;1;2;NA;NA;"/titanic-victim/loraine-allison.html";1909-06-05;1912-04-15;6;25.3;4;"Miss"
"4";0;"ALLISON, Mr Hudson Joshua Creighton ";"male";30;1;"Southampton";"113781";151.8;1;2;" [135]";NA;"/titanic-victim/hudson-joshua-creighton.html";1881-12-09;1912-04-15;6;25.3;4;"Mr"
"5";0;"ALLISON, Mrs Bessie Waldo ";"female";25;1;"Southampton";"113781";151.8;1;2;NA;NA;"/titanic-victim/bessie-waldo-allison.html";1886-11-14;1912-04-15;6;25.3;4;"Mrs"
"6";1;"ANDERSON, Mr Harry ";"male";47;1;"Southampton";"19952";26.55;0;0;"3";NA;"/titanic-survivor/harry-anderson.html";1864-10-20;1951-11-23;1;26.55;1;"Mr"
"7";1;"ANDREWS, Miss Kornelia Theodosia ";"female";62;1;"Cherbourg";"13502";77.9583333333333;1;0;"10";NA;"/titanic-survivor/kornelia-theodosia-andrews.html";1849-08-12;1913-12-04;3;25.9861111111111;2;"Miss"
"8";1;"APPLETON, Mrs Charlotte ";"female";53;1;"Southampton";"11769";51.4791666666667;2;0;"2";NA;"/titanic-survivor/charlotte-appleton.html";1858-12-12;1924-06-25;2;25.7395833333333;3;"Mrs"
"9";0;"ARTAGAVEYTIA, Mr Ramon ";"male";71;1;"Cherbourg";"17609";49.5041666666667;0;0;" [22]";NA;"/titanic-victim/ramon-artagaveytia.html";1840-07-15;1912-04-15;1;49.5041666666667;1;"Mr"
"10";0;"ASTOR, Colonel John Jacob ";"male";47;1;"Cherbourg";"17757";247.525;1;0;" [124]";NA;"/titanic-victim/john-jacob-astor.html";1864-07-13;1912-04-15;5;49.505;2;"Colonel"
"11";1;"ASTOR, Mrs Madeleine Talmage ";"female";18;1;"Cherbourg";"17757";247.525;1;0;"4";NA;"/titanic-survivor/madeleine-talmage-astor.html";1893-06-19;1940-03-27;5;49.505;2;"Mrs"
"12";1;"AUBART, Mme. Léontine Pauline ";"female";24;1;"Cherbourg";"17477";69.3;0;0;"9";NA;"/titanic-survivor/leontine-pauline-aubart.html";1887-05-20;1964-10-29;2;34.65;1;"Mme"
"13";1;"BARBER, Miss Ellen Mary ";"female";26;1;"Southampton";"19877";78.85;0;0;"6";"Servant";"/titanic-survivor/ellen-nellie-barber.html";1885-06-30;1963-05-02;3;26.2833333333333;1;"Miss"
"14";1;"BARKWORTH, Mr Algernon Henry ";"male";47;1;"Southampton";"27042";30;0;0;"B ";NA;"/titanic-survivor/algernon-barkworth.html";1864-06-04;1945-01-05;1;30;1;"Mr"
"15";1;"BASSANI, Mrs Albina ";"female";32;1;"Cherbourg";"11813";76.2916666666667;0;0;"8";"Servant";"/titanic-survivor/albina-bazzani.html";1880-03-25;1960-07-23;2;38.1458333333333;1;"Mrs"
"16";0;"BAUMANN, Mr John D. ";"male";60;1;"Cherbourg";"17318";25.925;0;0;NA;NA;"/titanic-victim/john-d-baumann.html";NA;1912-04-15;1;25.925;1;"Mr"
"17";0;"BAXTER, Mr Quigg Edmond ";"male";24;1;"Cherbourg";"17558";247.520833333333;0;1;NA;NA;"/titanic-victim/quigg-baxter.html";1887-07-13;1912-04-15;3;82.5069444444444;2;"Mr"
"18";1;"BAXTER, Mrs Hélène ";"female";50;1;"Cherbourg";"17558";247.520833333333;0;1;"6";NA;"/titanic-survivor/helene-baxter.html";1862-03-29;1923-06-18;3;82.5069444444444;2;"Mrs"
"19";0;"BEATTIE, Mr Thomson ";"male";36;1;"Southampton";"13050";75.2416666666667;0;0;"A[331]";NA;"/titanic-victim/thomson-beattie.html";1875-11-25;1912-04-15;2;37.6208333333333;1;"Mr"
"20";1;"BECKWITH, Mr Richard Leonard ";"male";37;1;"Southampton";"11751";52.5541666666667;1;1;"5";NA;"/titanic-survivor/richard-leonard-beckwith.html";1874-11-09;1933-04-11;2;26.2770833333333;3;"Mr"
"21";1;"BECKWITH, Mrs Sallie ";"female";46;1;"Southampton";"11751";52.5541666666667;1;1;"5";NA;"/titanic-survivor/sallie-beckwith.html";1865-09-21;1955-02-11;2;26.2770833333333;3;"Mrs"
"22";1;"BEHR, Mr Karl Howell ";"male";26;1;"Cherbourg";"111369";30;0;0;"5";NA;"/titanic-survivor/karl-howell-behr.html";1885-05-30;1949-10-15;1;30;1;"Mr"
"23";1;"BESSETTE, Miss Nellie Mayo ";"female";39;1;"Cherbourg";"17760";63.3583333333333;0;0;"8";"Servant";"/titanic-survivor/nellie-bessette.html";1872-10-07;1944-07-23;4;15.8395833333333;1;"Miss"
"24";1;"BIDOIS, Miss Rosalie ";"female";46;1;"Cherbourg";"17757";247.525;0;0;"4";"Servant";"/titanic-survivor/rosalie-bidois.html";1865-05-10;1938-09-24;5;49.505;1;"Miss"
"25";1;"BIRD, Miss Ellen ";"female";31;1;"Southampton";"17483";221.779166666667;0;0;"8";"Servant";"/titanic-survivor/ellen-bird.html";1881-04-08;1949-09-11;4;55.4447916666667;1;"Miss"
"26";0;"BIRNBAUM, Mr Jakob ";"male";24;1;"Cherbourg";"13905";26;0;0;" [148]";NA;"/titanic-victim/jakob-birnbaum.html";1887-05-24;1912-04-15;1;26;1;"Mr"
"27";1;"BISHOP, Mr Dickinson H. ";"male";25;1;"Cherbourg";"11967";91.0791666666667;1;0;"7";NA;"/titanic-survivor/dickinson-bishop.html";1887-03-24;1961-02-16;2;45.5395833333333;2;"Mr"
"28";1;"BISHOP, Mrs Helen ";"female";19;1;"Cherbourg";"11967";91.0791666666667;1;0;"7";NA;"/titanic-survivor/helen-bishop.html";1892-05-19;1916-03-15;2;45.5395833333333;2;"Mrs"
"29";1;"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Hokan ";"male";28;1;"Southampton";"110564";26.55;0;0;"D ";NA;"/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html";1883-11-09;1962-05-21;1;26.55;1;"Mr"
"30";0;"BLACKWELL, Mr Stephen Weart ";"male";45;1;"Southampton";"113784";35.5;0;0;NA;NA;"/titanic-victim/stephen-weart-blackwell.html";1866-09-06;1912-04-15;1;35.5;1;"Mr"
"31";1;"BLANK, Mr Henry ";"male";39;1;"Cherbourg";"112277";31;0;0;"7";NA;"/titanic-survivor/henry-blank.html";1872-09-17;1949-03-17;1;31;1;"Mr"
"32";1;"BONNELL, Miss Caroline ";"female";30;1;"Southampton";"36928";164.866666666667;0;0;"8";NA;"/titanic-survivor/caroline-bonnell.html";1882-04-03;1950-03-13;4;41.2166666666667;1;"Miss"
"33";1;"BONNELL, Miss Elizabeth ";"female";61;1;"Southampton";"113783";26.55;0;0;"8";NA;"/titanic-survivor/elizabeth-bonnell.html";1850-07-29;1936-02-20;1;26.55;1;"Miss"
"34";0;"BOREBANK, Mr John James ";"male";42;1;"Southampton";"110489";26.55;0;0;NA;NA;"/titanic-victim/john-james-borebank.html";1870-05-01;1912-04-15;1;26.55;1;"Mr"
