name,sex,age,survived,class,joined,ticket,price,sibsp,parch,job,occupation,dob,date_death,boat..body.,url,ticketFreq,pricepp,fsize,title
"ALLEN, Miss Elisabeth Walton ",female,29,1,1,Southampton,24160,214,0,0,NA,NA,1882-10-01,1967-12-15,2,/titanic-survivor/elisabeth-walton-allen.html,4,53.5,1,Miss
"ALLISON, Master Hudson Trevor ",male,0.92,1,1,Southampton,113781,151.8,1,2,NA,NA,1911-05-07,1929-08-07,11,/titanic-survivor/trevor-allison.html,6,25.3,4,Master
"ALLISON, Miss Helen Loraine ",female,2,0,1,Southampton,113781,151.8,1,2,NA,NA,1909-06-05,1912-04-15,NA,/titanic-victim/loraine-allison.html,6,25.3,4,Miss
"ALLISON, Mr Hudson Joshua Creighton ",male,30,0,1,Southampton,113781,151.8,1,2,NA,Businessman  ,1881-12-09,1912-04-15, [135],/titanic-victim/hudson-joshua-creighton.html,6,25.3,4,Mr
"ALLISON, Mrs Bessie Waldo ",female,25,0,1,Southampton,113781,151.8,1,2,NA,NA,1886-11-14,1912-04-15,NA,/titanic-victim/bessie-waldo-allison.html,6,25.3,4,Mrs
"ANDERSON, Mr Harry ",male,47,1,1,Southampton,19952,26.6,0,0,NA,Stockbroker  ,1864-10-20,1951-11-23,3,/titanic-survivor/harry-anderson.html,1,26.6,1,Mr
"ANDREWS, Miss Kornelia Theodosia ",female,62,1,1,Cherbourg,13502,78,1,0,NA,NA,1849-08-12,1913-12-04,10,/titanic-survivor/kornelia-theodosia-andrews.html,3,26,2,Miss
"APPLETON, Mrs Charlotte ",female,53,1,1,Southampton,11769,51.5,2,0,NA,NA,1858-12-12,1924-06-25,2,/titanic-survivor/charlotte-appleton.html,2,25.8,3,Mrs
"ARTAGAVEYTIA, Mr Ramon ",male,71,0,1,Cherbourg,17609,49.5,0,0,NA,Businessman  ,1840-07-15,1912-04-15, [22],/titanic-victim/ramon-artagaveytia.html,1,49.5,1,Mr
"ASTOR, Colonel John Jacob ",male,47,0,1,Cherbourg,17757,247.5,1,0,NA,Property Developer / Real Estate  ,1864-07-13,1912-04-15, [124],/titanic-victim/john-jacob-astor.html,5,49.5,2,Colonel
"ASTOR, Mrs Madeleine Talmage ",female,18,1,1,Cherbourg,17757,247.5,1,0,NA,NA,1893-06-19,1940-03-27,4,/titanic-survivor/madeleine-talmage-astor.html,5,49.5,2,Mrs
"AUBART, Mme. Léontine Pauline ",female,24,1,1,Cherbourg,17477,69.3,0,0,NA,Singer  ,1887-05-20,1964-10-29,9,/titanic-survivor/leontine-pauline-aubart.html,2,34.6,1,Mme
"BARBER, Miss Ellen Mary ",female,26,1,1,Southampton,19877,78.8,0,0,Servant,Personal Maid  ,1885-06-30,1963-05-02,6,/titanic-survivor/ellen-nellie-barber.html,3,26.3,1,Miss
"BARKWORTH, Mr Algernon Henry ",male,47,1,1,Southampton,27042,30,0,0,NA,Justice of the Peace  ,1864-06-04,1945-01-05,B ,/titanic-survivor/algernon-barkworth.html,1,30,1,Mr
"BASSANI, Mrs Albina ",female,32,1,1,Cherbourg,11813,76.3,0,0,Servant,Personal Maid  ,1880-03-25,1960-07-23,8,/titanic-survivor/albina-bazzani.html,2,38.1,1,Mrs
"BAUMANN, Mr John D. ",male,60,0,1,Cherbourg,17318,25.9,0,0,NA,Businessman  ,NA,1912-04-15,NA,/titanic-victim/john-d-baumann.html,1,25.9,1,Mr
"BAXTER, Mr Quigg Edmond ",male,24,0,1,Cherbourg,17558,247.5,0,1,NA,NA,1887-07-13,1912-04-15,NA,/titanic-victim/quigg-baxter.html,3,82.5,2,Mr
"BAXTER, Mrs Hélène ",female,50,1,1,Cherbourg,17558,247.5,0,1,NA,NA,1862-03-29,1923-06-18,6,/titanic-survivor/helene-baxter.html,3,82.5,2,Mrs
"BEATTIE, Mr Thomson ",male,36,0,1,Southampton,13050,75.2,0,0,NA,Landowner  ,1875-11-25,1912-04-15,A[331],/titanic-victim/thomson-beattie.html,2,37.6,1,Mr
"BECKWITH, Mr Richard Leonard ",male,37,1,1,Southampton,11751,52.6,1,1,NA,NA,1874-11-09,1933-04-11,5,/titanic-survivor/richard-leonard-beckwith.html,2,26.3,3,Mr
"BECKWITH, Mrs Sallie ",female,46,1,1,Southampton,11751,52.6,1,1,NA,NA,1865-09-21,1955-02-11,5,/titanic-survivor/sallie-beckwith.html,2,26.3,3,Mrs
"BEHR, Mr Karl Howell ",male,26,1,1,Cherbourg,111369,30,0,0,NA,NA,1885-05-30,1949-10-15,5,/titanic-survivor/karl-howell-behr.html,1,30,1,Mr
"BESSETTE, Miss Nellie Mayo ",female,39,1,1,Cherbourg,17760,63.4,0,0,Servant,Personal Maid  ,1872-10-07,1944-07-23,8,/titanic-survivor/nellie-bessette.html,4,15.8,1,Miss
"BIDOIS, Miss Rosalie ",female,46,1,1,Cherbourg,17757,247.5,0,0,Servant,Personal Maid  ,1865-05-10,1938-09-24,4,/titanic-survivor/rosalie-bidois.html,5,49.5,1,Miss
"BIRD, Miss Ellen ",female,31,1,1,Southampton,17483,221.8,0,0,Servant,Personal Maid  ,1881-04-08,1949-09-11,8,/titanic-survivor/ellen-bird.html,4,55.5,1,Miss
"BIRNBAUM, Mr Jakob ",male,24,0,1,Cherbourg,13905,26,0,0,NA,NA,1887-05-24,1912-04-15, [148],/titanic-victim/jakob-birnbaum.html,1,26,1,Mr
"BISHOP, Mr Dickinson H. ",male,25,1,1,Cherbourg,11967,91.1,1,0,NA,NA,1887-03-24,1961-02-16,7,/titanic-survivor/dickinson-bishop.html,2,45.5,2,Mr
"BISHOP, Mrs Helen ",female,19,1,1,Cherbourg,11967,91.1,1,0,NA,NA,1892-05-19,1916-03-15,7,/titanic-survivor/helen-bishop.html,2,45.5,2,Mrs
"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Hokan ",male,28,1,1,Southampton,110564,26.6,0,0,NA,Businessman  ,1883-11-09,1962-05-21,D ,/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html,1,26.6,1,Mr
"BLACKWELL, Mr Stephen Weart ",male,45,0,1,Southampton,113784,35.5,0,0,NA,NA,1866-09-06,1912-04-15,NA,/titanic-victim/stephen-weart-blackwell.html,1,35.5,1,Mr
"BLANK, Mr Henry ",male,39,1,1,Cherbourg,112277,31,0,0,NA,Jeweller  ,1872-09-17,1949-03-17,7,/titanic-survivor/henry-blank.html,1,31,1,Mr
"BONNELL, Miss Caroline ",female,30,1,1,Southampton,36928,164.9,0,0,NA,NA,1882-04-03,1950-03-13,8,/titanic-survivor/caroline-bonnell.html,4,41.2,1,Miss
"BONNELL, Miss Elizabeth ",female,61,1,1,Southampton,113783,26.6,0,0,NA,NA,1850-07-29,1936-02-20,8,/titanic-survivor/elizabeth-bonnell.html,1,26.6,1,Miss
"BOREBANK, Mr John James ",male,42,0,1,Southampton,110489,26.6,0,0,NA,Property Developer / Real Estate  ,1870-05-01,1912-04-15,NA,/titanic-victim/john-james-borebank.html,1,26.6,1,Mr
